inner_id,username,profile,follower_cnt,following_cnt
11089541612,queserasera.study,"ෆ 끊임없이 도전하고 노력하기 ෆ
-
■ 9월 : 전공 | 논문 작성 | 대외활동 | 자격증",261,26
38966981340,serendipity_57_,"👮🏻‍♀️ 동국대학교 #경찰행정학과 19학번 #대학생공스타그램 
🥋 ᴅᴏɴɢɢᴜᴋ ᴜɴɪᴠ. ᴘᴏʟɪᴄᴇ & ᴄʀɪᴍɪɴᴀʟ ᴊᴜsᴛɪᴄᴇ
✏️ 피해자학 박사 목표
🔛 캠퍼스폴리스, 유도 초단, 교육봉사
🔠 토익, 일본어, 스페인어",194,63
32936343062,jell_ying,"#대학생공스타그램 #대학생 #공스타그램 
#경영학과 #3학년 #취준생
토익 🌿 현 900 목표 990
컴활 🌿 현 2급 목표 1급
자격증 🌿 전산회계1급 (10월) 준비
          🌿 AFPK (11월) 준비
          🌿 투운사 (내년) 준비",138,70
39846887830,hana_2tudy,"“𝙾𝚗𝚎 𝚠𝚑𝚘 𝚠𝚊𝚗𝚝𝚜 𝚝𝚘 𝚠𝚎𝚊𝚛 𝚝𝚑𝚎 𝚌𝚛𝚘𝚠𝚗,
𝚋𝚎𝚊𝚛 𝚝𝚑𝚎 𝚌𝚛𝚘𝚠𝚗”👸🏻 ☀️ 7시 기상 ☀️ 
공인중개사2차 (10/31)
컴활1급, 토익, 감정평가사",112,34
38091293847,tout_ira_bien20,"BUSINESS ADMINISTRATION📕
Study with me🙌🏻",4,40
5616154669,cyan_134340,#공부인증 #공부기록 #공부 #공부스타그램 #공부자극 #공스타 #공스타그램 #대학생 #대학생공스타그램 #스터디 #스터디그램 #모트모트 #모트모트플래너 #모트모트텐미닛플래너 #스터디플래너 #study #studygram #勉強 #열정을품은타이머 #열품타 #열품타공부인증,55,18
24738740111,dbstptkd_17,"이것도 하다보면 많아지겠지
@doteplanner 도로시스터디10기 출발❗️",12,49
6020618245,bonobo.no_problem,해양경찰청 소속이 되고싶다... 지독하게 얽히고 싶다...,14,26
35574669535,study_p_e,"합격해버린다
재학초시생
""처음이라고 그 누구도 봐주지 않는다""",62,35
9951485427,hyeonji._.y_to_do,"휴학한 23살 공대생👩🏻‍🔬 
2️⃣0️⃣2️⃣0️⃣
🔚동계/하계 계절학기, 컴활 1급 실기, 화공기사 필기
🔛화공기사 실기🧑🏻‍🔬산안기 필기✏
#카공📚 #컴활1급 #화공기사 #산업안전기사",12,11
